sector,year,emissions_metric_tons
Energia,1990,2791358.668858528
Mudança de Uso da Terra e Floresta,1990,7503382.715635091
Agropecuária,1990,2027330.8073416376
Resíduos,1990,213027.2327752225
Processos Industriais,1990,173565.875
Energia,1991,2872739.622753113
Mudança de Uso da Terra e Floresta,1991,9209673.161086112
Agropecuária,1991,2098783.406927476
Resíduos,1991,222673.28247711144
Processos Industriais,1991,197977.09375
Energia,1992,3129135.337741852
Mudança de Uso da Terra e Floresta,1992,7820601.306327343
Agropecuária,1992,1871212.593454288
Resíduos,1992,227554.8643914671
Processos Industriais,1992,175595.078125
Energia,1993,2980944.992725849
Mudança de Uso da Terra e Floresta,1993,6495845.150849223
Agropecuária,1993,1413450.951238866
Resíduos,1993,234167.68857490725
Processos Industriais,1993,170900.046875
Energia,1994,2967232.8019428253
Mudança de Uso da Terra e Floresta,1994,4682775.60728991
Agropecuária,1994,1569419.6791101608
Resíduos,1994,243561.72960415125
Processos Industriais,1994,173473.890625
Energia,1995,3282793.4655151367
Mudança de Uso da Terra e Floresta,1995,6207047.868092388
Agropecuária,1995,1555685.2773607185
Resíduos,1995,251399.25674342667
Processos Industriais,1995,183551.3125
Energia,1996,3752274.222099781
Mudança de Uso da Terra e Floresta,1996,5553833.682682455
Agropecuária,1996,1848357.4821129644
Resíduos,1996,264100.1647754271
Processos Industriais,1996,186928.296875
Energia,1997,4010508.061873093
Mudança de Uso da Terra e Floresta,1997,4732805.933122754
Agropecuária,1997,1741129.3242226187
Resíduos,1997,275319.80614585726
Processos Industriais,1997,176626.28125
Energia,1998,4738386.25915432
Mudança de Uso da Terra e Floresta,1998,3753593.433994413
Agropecuária,1998,1512127.2909103066
Resíduos,1998,288694.66615647665
Processos Industriais,1998,205399.28125
Energia,1999,4847150.073280335
Mudança de Uso da Terra e Floresta,1999,4592738.813940465
Agropecuária,1999,1437338.5229168723
Resíduos,1999,304746.22464337456
Processos Industriais,1999,208637.71875
Energia,2000,4629102.3558802605
Mudança de Uso da Terra e Floresta,2000,3889410.882401973
Agropecuária,2000,1577782.9480189905
Resíduos,2000,320721.8533006064
Processos Industriais,2000,200799.015625
Energia,2001,4607129.550634146
Mudança de Uso da Terra e Floresta,2001,3392054.8079198003
Agropecuária,2001,1661278.2571879183
Resíduos,2001,336688.46799194097
Processos Industriais,2001,194507.234375
Energia,2002,4639643.389625549
Mudança de Uso da Terra e Floresta,2002,3590409.144398272
Agropecuária,2002,1777162.659663702
Resíduos,2002,356250.68933271465
Processos Industriais,2002,200318.921875
Energia,2003,3940742.252345048
Mudança de Uso da Terra e Floresta,2003,4225445.615000784
Agropecuária,2003,1791939.6026223323
Resíduos,2003,381147.1138137065
Processos Industriais,2003,148030.0625
Energia,2004,4677814.61840874
Mudança de Uso da Terra e Floresta,2004,4204145.095424295
Agropecuária,2004,1800165.7435974944
Resíduos,2004,398761.7761086881
Processos Industriais,2004,150867.265625
Energia,2005,5080328.990624808
Mudança de Uso da Terra e Floresta,2005,3980337.576741934
Agropecuária,2005,1969533.2537036687
Resíduos,2005,418931.1386377889
Processos Industriais,2005,189812.375
Energia,2006,4382041.962528432
Mudança de Uso da Terra e Floresta,2006,4730144.28248018
Agropecuária,2006,2125036.4534072047
Resíduos,2006,443079.0783226952
Processos Industriais,2006,201591.59375
Energia,2007,5191495.352713483
Mudança de Uso da Terra e Floresta,2007,4664516.905588537
Agropecuária,2007,2161230.039992448
Resíduos,2007,458336.06905530766
Processos Industriais,2007,250142.859375
Energia,2008,5749143.902940008
Mudança de Uso da Terra e Floresta,2008,2868661.2669902444
Agropecuária,2008,2167208.325205806
Resíduos,2008,485861.3744851479
Processos Industriais,2008,283786.875
Energia,2009,5761094.493203417
Mudança de Uso da Terra e Floresta,2009,3459274.807327032
Agropecuária,2009,2200651.2140495656
Resíduos,2009,492524.0580383424
Processos Industriais,2009,301939.25
Energia,2010,7410206.715334967
Mudança de Uso da Terra e Floresta,2010,4279345.986881465
Agropecuária,2010,2268678.044000604
Resíduos,2010,501343.6029369551
Processos Industriais,2010,305129.46875
Energia,2011,8183517.39574543
Mudança de Uso da Terra e Floresta,2011,4697103.073601872
Agropecuária,2011,2306440.9835453564
Resíduos,2011,519662.58124335925
Processos Industriais,2011,378963.28125
Energia,2012,9299611.330233209
Mudança de Uso da Terra e Floresta,2012,4816154.129703641
Agropecuária,2012,1874904.2592274104
